## Target State
0 1 2 3
4 5 6 7
8 9 10 11
12 13 14 15

# 9
1 2 3 7
4 5 6 11
8 9 10 15
0 12 13 14

## Target State
1 2 3 4
5 6 7 8
9 10 11 12
13 14 15 0

# 40
5  6  3  4 
8  0  1 15 
10  7  2 11 
12  9 14 13 

# 33 
1  3  7 11 
9  6  4  8 
5  2 12 15 
13 14  0 10

# 18
2  5  3  4 
1  7 11  8 
9  6  0 12 
13 14 15 10 

# 50 
2  3  0  8 
15 12  6  7 
13  1  4  9 
14 11 10  5

# 24 
9  5  1  2 
6  4  8  3 
10 14  7 11 
13  0 15 12 

# 9
2  0  3  4
 1 10  6  8
 5  9  7 12
13 14 11 15

# 37
 2  0  5  4 
10  3  6  7 
13  1  9 15 
 8 11 12 14 
